,time,sigma,label
41,0.578591524742841,3.46543405406065e-09,RSF
42,0.580908125206674,3.5416364431080365e-09,RSF
43,0.587327855450713,3.5521884413245684e-09,RSF
44,0.604924841796667,3.6255847677652927e-09,RSF
45,0.606631263536245,3.6429346136354026e-09,RSF
46,0.61556299643478,3.662621187155642e-09,RSF
47,0.625802640178002,3.6433727955824614e-09,RSF
48,0.63202182006369,3.720631722548742e-09,RSF
49,0.659277431026207,3.7184037769593624e-09,RSF
50,0.668963213572462,3.746375746407362e-09,RSF
51,0.672863679825906,3.78131009890946e-09,RSF
52,0.673383326140548,3.901860808964596e-09,RSF
53,0.678994212175746,3.966797924472089e-09,RSF
54,0.691552115276773,3.987785410334443e-09,RSF
55,0.7046999872208,4.0398022993298406e-09,RSF
56,0.708704549397396,4.062931405845702e-09,RSF
57,0.712611583520382,4.113753834412719e-09,RSF
58,0.737696382748417,4.114085120168134e-09,RSF
59,0.752299888179282,4.159742033072478e-09,RSF
60,0.772428022945482,4.167732594384056e-09,RSF
61,0.780287825217475,4.202665427898771e-09,RSF
62,0.799749240871298,4.259477040761546e-09,RSF
63,0.807165717611667,4.402133259088512e-09,RSF
64,0.817680948278785,4.460871030130471e-09,RSF
65,0.832288911322068,4.455702833183785e-09,RSF
66,0.833313066823351,4.513229558976085e-09,RSF
67,0.845545595706258,4.549693148934813e-09,RSF
68,0.87073972204817,4.627272789920582e-09,RSF
69,0.877380054471592,4.6031346693432595e-09,RSF
70,0.88323358028847,4.676788838572611e-09,RSF
71,0.887200958462338,4.821808720913428e-09,RSF
72,0.89724853042324,4.867631098387569e-09,RSF
73,0.899897684326122,4.908478063410586e-09,RSF
74,0.914716171051324,4.960035539349567e-09,RSF
75,0.923727658731518,5.048616634494947e-09,RSF
76,0.924347479453649,5.1793367558464235e-09,RSF
77,0.928046201674527,5.3472451437148495e-09,RSF
78,0.939241661709207,5.3374230555109975e-09,RSF
79,0.946946779542806,5.404085156209049e-09,RSF
80,0.951044771440347,5.462221320044772e-09,RSF
81,0.953325830389543,5.475250304129779e-09,RSF
82,0.957483202297623,5.490609700938132e-09,RSF
83,0.957749029088322,5.551550649243062e-09,RSF
84,0.967682672324015,5.551508337276037e-09,RSF
85,0.972097436401422,5.605080960533107e-09,RSF
86,0.976181346610624,5.669470652713463e-09,RSF
87,0.996524568822076,5.6506188598932635e-09,RSF
88,0.997384695907716,5.704218052710272e-09,RSF
89,0.999513034350595,5.8883403492546785e-09,RSF
90,1.0127435894043,5.9372558514526914e-09,RSF
91,1.01763072673393,5.93710978228639e-09,RSF
92,1.02332492325305,5.987572243559396e-09,RSF
93,1.03589933975223,6.014124660375312e-09,RSF
94,1.04322666443515,6.112679276019958e-09,RSF
95,1.04694177140358,6.2013933392584005e-09,RSF
96,1.05316869809271,6.247252962358436e-09,RSF
97,1.05923093906272,6.250519341373337e-09,RSF
98,1.07577810175673,6.314905693466167e-09,RSF
99,1.08501944172661,6.339542421601326e-09,RSF
100,1.11895517683901,6.415413810414953e-09,RSF
101,1.12137666497611,6.5427105107530764e-09,RSF
102,1.14097268815544,6.51177700304542e-09,RSF
103,1.14174056019793,6.562412497895322e-09,RSF
104,1.14903726572149,6.635520927264632e-09,RSF
105,1.15258314199836,6.7031003286526565e-09,RSF
106,1.15439338245241,6.848452333111747e-09,RSF
107,1.16156681632473,6.84931095349032e-09,RSF
108,1.18419541370868,6.916647163777463e-09,RSF
109,1.19479016852352,6.909544490488203e-09,RSF
110,1.20207369669184,6.947875670009944e-09,RSF
111,1.2161955735341,6.957324052048079e-09,RSF
112,1.22094238409333,7.063002649874011e-09,RSF
113,1.22613941133358,7.071517208942069e-09,RSF
114,1.23775780561925,7.139321618251287e-09,RSF
115,1.24432114756432,7.126125764956736e-09,RSF
116,1.24493101342714,7.1529248899464366e-09,RSF
117,1.24703865421624,7.128172332638119e-09,RSF
118,1.25916064902894,7.11950321555741e-09,RSF
119,1.26164685230589,7.125494616153373e-09,RSF
120,1.26837151851893,7.2160190720377105e-09,RSF
121,1.28543271435453,7.33178000981857e-09,RSF
122,1.31680479901172,7.424496035912537e-09,RSF
123,1.32315555655747,7.406256353327522e-09,RSF
124,1.33375692338001,7.414394435603458e-09,RSF
