,time,sigma,label
460,6.10038958678145,2.500872307109079e-08,RSF
461,6.10258996147655,2.5083946836432582e-08,RSF
462,6.10383091962948,2.5099466379789557e-08,RSF
463,6.10729995090303,2.5154777533136855e-08,RSF
464,6.11033960716812,2.5211726885401485e-08,RSF
465,6.13541162872364,2.5212010438371454e-08,RSF
466,6.15149442279659,2.5385019765529804e-08,RSF
467,6.15599404434501,2.539643785511358e-08,RSF
468,6.18206439761642,2.5453446360776994e-08,RSF
469,6.18247125132671,2.5565810479862337e-08,RSF
470,6.1938062943757,2.5582321907837588e-08,RSF
471,6.20386746061527,2.5560461358631632e-08,RSF
472,6.23356076611647,2.557249158093779e-08,RSF
473,6.2353103471476,2.552486556571614e-08,RSF
474,6.23923695972197,2.5528997789534623e-08,RSF
475,6.25415692217054,2.553421340239339e-08,RSF
476,6.28513961935246,2.5654799337344347e-08,RSF
477,6.28780044663744,2.570953638468573e-08,RSF
478,6.3375889652886,2.579939160901911e-08,RSF
479,6.35737346813786,2.5832774846201936e-08,RSF
480,6.3907707955004,2.591630641666174e-08,RSF
481,6.39506795134102,2.5879763975679274e-08,RSF
482,6.39979089817476,2.5886718645683357e-08,RSF
483,6.41753244379229,2.601348843441067e-08,RSF
484,6.41826222271892,2.5937708896402478e-08,RSF
485,6.41918184706243,2.5960431844340055e-08,RSF
486,6.4274446526427,2.6025640171407247e-08,RSF
487,6.43339449565075,2.6080949643245566e-08,RSF
488,6.43481610895245,2.6215987100043227e-08,RSF
489,6.45534585665115,2.6293832869116264e-08,RSF
490,6.48245001256693,2.637427545933358e-08,RSF
491,6.49213989770844,2.6340324169708792e-08,RSF
492,6.4972357980495,2.6361150445463893e-08,RSF
493,6.52028078390907,2.6485404495002565e-08,RSF
494,6.54388702181853,2.668644133821278e-08,RSF
495,6.56789675733355,2.6839748094894563e-08,RSF
496,6.58218650952486,2.6962004969452622e-08,RSF
497,6.60521753833924,2.6990071930681254e-08,RSF
498,6.60595564095496,2.690571345156249e-08,RSF
499,6.60746022569319,2.6932142972688556e-08,RSF
500,6.61448307188168,2.6936084908146938e-08,RSF
501,6.64744311412621,2.6999334274274618e-08,RSF
502,6.68763571653074,2.6994421297815248e-08,RSF
503,6.71882544765289,2.6972718801768753e-08,RSF
504,6.78604483520953,2.6921655641776297e-08,RSF
505,6.80795450018306,2.703125298279282e-08,RSF
506,6.82060870335689,2.697757294870818e-08,RSF
507,6.86821271476816,2.6903760668139437e-08,RSF
508,6.87800751543301,2.694655216439415e-08,RSF
509,6.88123466564149,2.7084384711311792e-08,RSF
510,6.89074264821581,2.7173144779044525e-08,RSF
511,6.90746418951132,2.732483411081514e-08,RSF
512,6.93843877164626,2.746659320747851e-08,RSF
513,6.96168830211868,2.7585625357942124e-08,RSF
514,6.96726122036986,2.7590453825752862e-08,RSF
515,7.0119732746173,2.762411003752868e-08,RSF
516,7.02229461454757,2.7765307665042416e-08,RSF
517,7.03095556430961,2.7731945046900915e-08,RSF
518,7.03628798738084,2.77151317322848e-08,RSF
519,7.0392207508106,2.775999419018238e-08,RSF
520,7.06034877747098,2.776300468628225e-08,RSF
521,7.08067059550613,2.7845710173285107e-08,RSF
522,7.08580537718136,2.7889513877276732e-08,RSF
523,7.09497070888164,2.788093225607687e-08,RSF
524,7.11232344519828,2.7869804364007133e-08,RSF
525,7.1268250393184,2.7948621481704867e-08,RSF
526,7.13842902470203,2.8035217832875267e-08,RSF
527,7.1578846519479,2.8265755600041377e-08,RSF
528,7.17736719867293,2.8361853660724966e-08,RSF
529,7.20046151488989,2.837959673563135e-08,RSF
530,7.24496516087284,2.8399492750971463e-08,RSF
531,7.24709640908897,2.8434991557626446e-08,RSF
532,7.24787140474387,2.85316478780711e-08,RSF
533,7.25023690451159,2.8581561699691404e-08,RSF
534,7.2723125235353,2.8679725122566122e-08,RSF
535,7.3079363737781,2.864323525411112e-08,RSF
536,7.30879938468969,2.859906912023379e-08,RSF
537,7.33522556165612,2.8646875374510567e-08,RSF
538,7.33844608728947,2.8770547700019766e-08,RSF
539,7.36859775083528,2.8916690113975576e-08,RSF
540,7.37157063466343,2.888927449032588e-08,RSF
541,7.40166304575406,2.8888896182425947e-08,RSF
542,7.41162315758316,2.8916207499266768e-08,RSF
543,7.50315827323729,2.9053948606241697e-08,RSF
544,7.51663713602262,2.927044978467173e-08,RSF
545,7.5349880617621,2.9337499617374297e-08,RSF
546,7.56024724881807,2.9453644551887406e-08,RSF
547,7.5971003125109,2.9562079534664894e-08,RSF
548,7.60790740689964,2.9555671609215356e-08,RSF
549,7.63203614858673,2.954407102946671e-08,RSF
550,7.63231828291414,2.959879411669562e-08,RSF
551,7.66204026142092,2.9598824263552786e-08,RSF
552,7.67148007185692,2.9743340597033575e-08,RSF
553,7.70237119118853,2.9879175330442e-08,RSF
554,7.71737532337978,2.9947382907837227e-08,RSF
555,7.71757239619137,3.00884869490292e-08,RSF
556,7.75983715224436,3.0242012461164737e-08,RSF
557,7.76197378986405,3.042576762310587e-08,RSF
558,7.7727595330948,3.0548918984636684e-08,RSF
559,7.79730869065949,3.0542479869380205e-08,RSF
560,7.82432895390008,3.049894464447577e-08,RSF
561,7.83318851733635,3.054785458684555e-08,RSF
562,7.84144606348269,3.069562476355886e-08,RSF
563,7.84645619282246,3.0768759226586695e-08,RSF
564,7.93401177537169,3.0782822536747283e-08,RSF
565,7.93773889497002,3.0737714446691165e-08,RSF
566,7.94586827634752,3.069845006141355e-08,RSF
567,7.96219308866166,3.0880717390567854e-08,RSF
568,7.98412520621297,3.115646665410978e-08,RSF
569,8.01016614245606,3.121004509950448e-08,RSF
570,8.05749854642886,3.122531311890768e-08,RSF
571,8.07656628479451,3.124409741769008e-08,RSF
572,8.08817506188325,3.140873984082128e-08,RSF
573,8.13983621571948,3.154510252162095e-08,RSF
